ScoreJS,TypeJS,ScoreSE,TypeSE,ScoreSOP,TypeSOP,pAverage,mutationNumber,conservation,species,fcm/faa
0.811808411,JS divergence average,0.813229073,Shannon entropy average,4.452480861,Sum of Pairs Average,0.0054161178,18,1,3,0.028
0.6894924938,JS divergence average,0.4594729568,Shannon entropy average,1.9654222716,Sum of Pairs Average,0.203536435,5,0.6,3,0.0109
0.782577584,JS divergence average,0.696591489,Shannon entropy average,3.359852537,Sum of Pairs Average,0.0004083883,32,0.5313,6,0.2179
0.734107606,JS divergence average,0.63110554,Shannon entropy average,2.63484554,Sum of Pairs Average,0.0256222223,11,0.7273,3,0.0402
0.752260856,JS divergence average,0.647885303,Shannon entropy average,3.378494071,Sum of Pairs Average,0.0252989923,24,0.5833,3,0.0927
0.64843844,JS divergence average,0.435072198,Shannon entropy average,1.266790857,Sum of Pairs Average,0.2220358,5,0,6,0
0.707431425,JS divergence average,0.57719422,Shannon entropy average,2.240125668,Sum of Pairs Average,0.3855804493,5,0,5,0
0.814191458,JS divergence average,0.867819645,Shannon entropy average,4.585098885,Sum of Pairs Average,0.093317555,14,0.2857,5,0.0367
0.757244905,JS divergence average,0.581657802,Shannon entropy average,2.76072377,Sum of Pairs Average,0.2988949583,4,0,6,0
0.623544315,JS divergence average,0.477702557,Shannon entropy average,1.824183082,Sum of Pairs Average,0.1629864537,3,0,4,0
0.787204855,JS divergence average,0.75696492,Shannon entropy average,4.050037685,Sum of Pairs Average,0.005537364,14,0.5714,5,0.086
0.775588846,JS divergence average,0.668645385,Shannon entropy average,3.604603776,Sum of Pairs Average,0.0086267434,12,0.0833,6,0.0909
0.688715265,JS divergence average,0.464486429,Shannon entropy average,1.804380163,Sum of Pairs Average,0.0040434139,13,0.8461538462,3,0.0413533835
0.6365233967,JS divergence average,0.4297923574,Shannon entropy average,1.1317710139,Sum of Pairs Average,0.2021408283,5,0.2,6,0.0093
0.696577767,JS divergence average,0.528876628,Shannon entropy average,2.131972535,Sum of Pairs Average,0.0680521913,6,0.8333,3,0.0259
0.680608874,JS divergence average,0.494598402,Shannon entropy average,1.840297017,Sum of Pairs Average,0.113419458,4,0.25,5,0.0714
0.728641052,JS divergence average,0.551823922,Shannon entropy average,2.160496026,Sum of Pairs Average,0.0718550487,6,0.6667,3,0.0323
0.659669493,JS divergence average,0.46535665,Shannon entropy average,1.434034722,Sum of Pairs Average,0.162944089,3,0.6667,5,0.0206
0.663216998,JS divergence average,0.522995147,Shannon entropy average,2.266164628,Sum of Pairs Average,4.41686333333333E-005,31,0.9032,3,0.0816
0.683836659,JS divergence average,0.57284978,Shannon entropy average,2.194468585,Sum of Pairs Average,0.0042804902,36,0.1389,2,0.0013
0.712784389,JS divergence average,0.503128279,Shannon entropy average,1.823680324,Sum of Pairs Average,0.2605334357,25,0.16,3,0.0016
0.682159775,JS divergence average,0.509751575,Shannon entropy average,2.047800375,Sum of Pairs Average,0.0014774098,19,0.8947,3,0.0239
0.590742229,JS divergence average,0.377342731,Shannon entropy average,0.949753213,Sum of Pairs Average,0.3597613333,5,0,6,0
0.7860605616,JS divergence average,0.6930260907,Shannon entropy average,3.7659116847,Sum of Pairs Average,0.0231663577,10,0.5,6,0.05
0.680473738,JS divergence average,0.5787325,Shannon entropy average,2.558458956,Sum of Pairs Average,0.1332736133,3,0.33,6,0.02
0.792593891,JS divergence average,0.719324529,Shannon entropy average,3.802497204,Sum of Pairs Average,0.0566973223,5,0.4,3,0.0098
0.6575864474,JS divergence average,0.5306257675,Shannon entropy average,1.9614432895,Sum of Pairs Average,0.382721036,9,0.2222,5,0.014
0.65716866,JS divergence average,0.482148247,Shannon entropy average,2.184397113,Sum of Pairs Average,0.2230632763,4,0,4,0
0.766997762,JS divergence average,0.603634621,Shannon entropy average,3.037951264,Sum of Pairs Average,0.0059524917,28,0.75,3,0.1721
0.671745132,JS divergence average,0.450659456,Shannon entropy average,1.362354706,Sum of Pairs Average,0.1417181113,4,0.75,5,0.0326
0.809278316,JS divergence average,0.811183726,Shannon entropy average,4.551708,Sum of Pairs Average,0.0036841603,13,0.6923,3,0.0161
0.6489347147,JS divergence average,0.5150882883,Shannon entropy average,2.1290223724,Sum of Pairs Average,0.0002127139,7,0.8571,3,0.0143
0.823088716,JS divergence average,0.844950286,Shannon entropy average,4.475177119,Sum of Pairs Average,0.1595728213,9,0,6,0
0.785852122,JS divergence average,0.68690934,Shannon entropy average,3.372872016,Sum of Pairs Average,0.306333009,15,0.4667,3,0.0279
0.7343362873,JS divergence average,0.5815274111,Shannon entropy average,2.6635813371,Sum of Pairs Average,0.0536747803,6,0.6667,3,0.0482
0.750042777,JS divergence average,0.631063901,Shannon entropy average,3.093232314,Sum of Pairs Average,0.143367767,12,0.5833,3,0.026
0.817087678,JS divergence average,0.884561966,Shannon entropy average,4.588428138,Sum of Pairs Average,0.0048470583,20,0.45,6,0.2143
0.6434724535,JS divergence average,0.4229900743,Shannon entropy average,1.2632449628,Sum of Pairs Average,5.61225866666667E-005,50,0.66,3,0.0689
0.7009089461,JS divergence average,0.6003666667,Shannon entropy average,2.5192076225,Sum of Pairs Average,0.019288708,26,0.2308,4,0.0403
0.6790015769,JS divergence average,0.5906425769,Shannon entropy average,2.2729964615,Sum of Pairs Average,0.1908672873,30,0.4,3,0.0519
0.779727262,JS divergence average,0.73155,Shannon entropy average,3.674995952,Sum of Pairs Average,0.189213794,7,0.8571,2,0.0103
0.636902787,JS divergence average,0.518085328,Shannon entropy average,2.039604508,Sum of Pairs Average,8.46586E-006,57,0.4211,4,0.1491
0.782336496,JS divergence average,0.70583943,Shannon entropy average,3.471734587,Sum of Pairs Average,0.120680674,7,0.1429,6,0.0083
